truck_id,lon,lat,time,unixtime,index,alternatives_count,waypoint_index,matchings_index,name,distance,hint,lon_match,lat_match,matching_confidence,distance_traveled,duration,osm_nodes,osm_speeds,osm_durations,osm_distances,n_osm_points,speed,outlier,is_moving,x_match,y_match,cluster_id
XE-5638S,103.6483631,1.33051367,2020-10-08 04:57:37,1602133057,0,1.0,0.0,0.0,,9.022067,dS8CgHgvAgCdAAAAUQAAAAAAAABSAAAAX5eCQpddBkIAAAAACEsHQp0AAABRAAAAAAAAAFIAAACDCwAAM4wtBhdNFABrjC0GUk0UAAAAXwi8byAW,103.648307,1.330455,,,,,,,,,,False,False,7410.084418925322,34741.2428972691,0.0
XE-5638S,103.648332,1.33048583,2020-10-08 04:57:43,1602133063,1,,,0.0,,,,103.648307,1.330455,,,,,,,,,,True,False,7410.084418925322,34741.2428972691,0.0
XE-5638S,103.6483373,1.3304885,2020-10-08 04:57:48,1602133068,2,,,0.0,,,,103.648307,1.330455,,,,,,,,,,True,False,7410.084418925322,34741.2428972691,0.0
XE-5638S,103.6483446,1.33049717,2020-10-08 04:57:53,1602133073,3,,,0.0,,,,103.648307,1.330455,,,,,,,,,,True,False,7410.084418925322,34741.2428972691,0.0
XE-5638S,103.6483585,1.3305095,2020-10-08 04:57:58,1602133078,4,,,0.0,,,,103.648307,1.330455,,,,,,,,,,True,False,7410.084418925322,34741.2428972691,0.0
XE-5638S,103.6483666,1.33051883,2020-10-08 04:58:03,1602133083,5,,,0.0,,,,103.648307,1.330455,,,,,,,,,,True,False,7410.084418925322,34741.2428972691,0.0
XE-5638S,103.648374,1.33053083,2020-10-08 04:58:08,1602133088,6,,,0.0,,,,103.648307,1.330455,,,,,,,,,,True,False,7410.084418925322,34741.2428972691,0.0
XE-5638S,103.6484023,1.33055433,2020-10-08 04:58:14,1602133094,7,1.0,1.0,0.0,,15.141329,dS8CgHgvAgCdAAAAUQAAAAAAAABSAAAA3cCCQp0KBkIAAAAACEsHQp0AAABRAAAAAAAAAFIAAACDCwAANIwtBhdNFACSjC0Gek0UAAAAXwi8byAW,103.648308,1.330455,0.929864,0.1,0.0,"[5270389040, 5270389041]",[0],[0],[0.111196],2.0,inf,False,True,7410.195709190204,34741.24288892446,-1.0
XE-5638S,103.6484251,1.330575,2020-10-08 04:58:19,1602133099,8,,,0.0,,,,103.648308,1.330455,,,,,,,,,,True,False,7410.195709190204,34741.24288892446,0.0
XE-5638S,103.6484515,1.330594,2020-10-08 04:58:25,1602133105,9,,,0.0,,,,103.648308,1.330455,,,,,,,,,,True,False,7410.195709190204,34741.24288892446,0.0
XE-5638S,103.648485,1.33060283,2020-10-08 04:58:31,1602133111,10,,,0.0,,,,103.648308,1.330455,,,,,,,,,,True,False,7410.195709190204,34741.24288892446,0.0
XE-5638S,103.6485175,1.33061067,2020-10-08 04:58:36,1602133116,11,,,0.0,,,,103.648308,1.330455,,,,,,,,,,True,False,7410.195709190204,34741.24288892446,0.0
